Recording date:	2016/05/02
Recording time:	17:14:09
Recording resolution	1280 x 1024

pygaze initiation report start
display resolution: 1280x1024
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 60 Hz
sampletime: 16.6586792453 ms
accuracy (in pixels): LX=639.014, LY=510.9858, RX=639.0186, RY=510.986
precision (RMS noise in pixels): X=5.83095189485, Y=9.53939201417
distance between participant and display: 57.0 cm
fixation threshold: 56.4618303415 pixels
speed threshold: 1.31714187105 pixels/ms
accuracy threshold: 360.822512123 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	LeftPupil	ValidityLeft	GazePointXRight	GazePointYRight	RightPupil	ValidityRight	GazePointX	GazePointY	Event
0.0	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
17.7	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
31.7	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
48.4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
62.4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
79.0	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
95.7	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
112.3	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
129.0	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
145.7	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
162.3	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
178.9	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
195.6	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
212.3	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
229.2	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
245.9	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
262.8	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
278.9	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
295.5	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
312.2	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
328.8	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
345.4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
362.1	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
378.8	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	-1.0000	4	-1.0000	-1.0000	
395.4	628.2490	517.3014	3.7633	0	643.5423	539.1500	3.6852	0	0.9936	1.0317	
412.1	425.5220	379.3883	3.7973	0	465.6008	384.0334	3.7213	0	0.6962	0.7455	
428.8	248.0235	271.7182	3.7578	0	279.6904	263.4146	3.7194	0	0.4123	0.5226	
445.4	129.1012	208.0649	3.7488	0	160.0616	188.6694	3.7261	0	0.2259	0.3874	
462.0	134.5570	199.8202	3.7587	0	153.2631	183.8538	3.7056	0	0.2249	0.3747	
478.6	121.1865	197.6104	3.7589	0	150.0182	174.7183	3.6708	0	0.2119	0.3636	
495.4	119.0492	200.0506	3.7440	0	144.5193	193.2195	3.6604	0	0.2059	0.3841	
512.0	119.0022	190.1563	3.7472	0	138.9042	187.4184	3.6762	0	0.2015	0.3687	
528.6	106.8590	184.0501	3.7292	0	145.3542	193.9853	3.6663	0	0.1970	0.3692	
545.3	115.0958	192.9160	3.7227	0	144.2692	188.3686	3.6841	0	0.2026	0.3723	
561.9	115.2791	201.0895	3.7232	0	140.8681	187.0664	3.6430	0	0.2001	0.3791	
578.6	57.5874	130.1396	3.7377	0	86.6058	133.2579	3.6563	0	0.1127	0.2572	
595.3	63.1872	126.7963	3.7236	0	89.1156	129.2461	3.6584	0	0.1190	0.2500	
611.9	61.2626	132.6508	3.7184	0	96.7291	137.5517	3.6647	0	0.1234	0.2639	
628.5	52.5223	128.8148	3.7226	0	93.6408	136.7390	3.6414	0	0.1142	0.2593	
645.3	67.8967	137.9142	3.7114	0	94.9704	129.6554	3.6267	0	0.1272	0.2613	
661.9	62.6274	128.6675	3.7028	0	100.0870	129.3464	3.6396	0	0.1271	0.2520	
